friddjavuođareive	1. frihetsbrev;  
adresserenmašiidna	1. adresseringsmaskin;  
dikterenmašiidna	1. dikteringsmaskin;  
bovrenmašiidna	1. boremaskin;  
čuoldabovrenmašiidna	1. søyleboremaskin;  
radiálabovrenmašiidna	1. radialboremaskin;  
časkinbovrenmašiidna	1. slagboremaskin;  
čállinmašiidna	1. skrivemaskin;  
rehkenastinmašiidna	1. regnemaskin;  
máhccunmašiidna	1. bukkemaskin, falsemaskin;  
goarrunmašiidna	1. symaskin;  
goaivunmašiidna	1. gravemaskin;  
bargomašiidna	1. arbeidsmaskin;  
biebmomašiidna	1. kjøkkenmaskin;  
ráhkadusmašiidna	1. anleggsmaskin;  
auberšiidna	1. aubergin;  
buđetbáidna	1. smak til potet;  
aldna	1. tannkjøttdel;  
deardna	1. råmelkspudding;  
mándelveardna	1. kvern;  
biergoveardna	1. kjøttkvern;  
semuljarievdna	1. semulegryn;  
máisarievdna	1. polentagryn;  
risenrievdna	1. risengryn;  
ságurievdna	1. sagogryn;  
ruksesjeaggemuoldobovdna	1. rødmoldstue;  
riikatelefovdna	1. rikstelefonsamtale;  
bealljetelefovdna	1. øretelefon;  
heahtetelefovdna	1. nødtelefon;  
oaivetelefovdna	1. hodetelefon;  
mobiltelefovdna	1. mobiltelefon;  
viessotelefovdna	1. hustelefon;  
bealjostelefovdna	1. øretelefon;  
almmustelefovdna	1. almmustelefon;  
bealjoštelefovdna	1. øretelefon;  
trifovdna	1. trifon;  
gramofovdna	1. grammofon;  
grammofovdna	1. grammofon;  
mikrofovdna	1. mikrofon;  
beavdemikrofovdna	1. bordmikrofon;  
oaivemikrofovdna	1. hodemikrofon;  
regiovdna	1. region;  
religiovdna	1. religion;  
opiniovdna	1. opinion;  
opponiovdna	1. opponion;  
uniovdna	1. union;  
spiovdna	1. spion;  
bataljovdna	1. bataljon;  
melovdna	1. melon;  
hormovdna	1. hormon;  
kanovdna	1. kanon;  
árenkanovdna	1. harpunkanon;  
natrovdna	1. natron;  
sitrovdna	1. sitron;  
elektrovdna	1. elektron;  
garnisovdna	1. garnison;  
oalgepersovdna	1. biperson;  
váldopersovdna	1. hovedperson;  
elvovdna	1. sporvogn;  
gádjunvovdna	1. redningsvogn;  
siidovovdna	1. sidevogn;  
viessovovdna	1. campingvogn;  
goallosvovdna	1. tilhenger;  
našovdna	1. nasjon;  
mišovdna	1. misjon;  
kommišovdna	1. kommisjon;  
pearmišovdna	1. permisjon;  
miššovdna	1. misjon;  
bárduvdna	1. bardun;  
heahtetelefuvdna	1. nødtelefon;  
mobiltelefuvdna	1. mobiltelefon;  
mikrofuvdna	1. mikrofon;  
regiuvdna	1. region;  
organisašuvdna	1. organisasjon;  
veahkkeorganisašuvdna	1. hjelpeorganisasjon;  
searveorganisašuvdna	1. samorganisasjon;  
bargoorganisašuvdna	1. arbeidsorganisasjon;  
almmosorganisašuvdna	1. almmosorganisasjon;  
ámmátorganisašuvdna	1. fagorganisasjon;  
kolonisašuvdna	1. kolonisasjon;  
orgánisašuvdna	1. organisasjon;  
penšuvdna	1. pensjon;  
maŋisbáhcciidpenšuvdna	1. etterlattepensjon;  
oarbásiidpenšuvdna	1. etterlattepensjon;  
boarrásiidpenšuvdna	1. alderspensjon;  
mánáidpenšuvdna	1. barnepensjon;  
bargopenšuvdna	1. tjenestepensjon;  
buozalmaspenšuvdna	1. uførepensjon;  
suspenšuvdna	1. suspensjon;  
ekstenšuvdna	1. ekstensjon;  
prevenšuvdna	1. prevensjon;  
konvenšuvdna	1. konvensjon;  
biogirjáivuođakonvenšuvdna	1. biomangfoldskonvensjon;  
sámekonvenšuvdna	1. samekonvensjon;  
boazoguohtonkonvenšuvdna	1. reinbeitekonvensjon;  
biokonvenšuvdna	1. biokonvensjon;  
vávdna	1. vogn;  
loktenvávdna	1. jekketralle;  
gena	1. gen;  
leasmepeanna	1. revmapenn;  
deavdinpeanna	1. fyllepenn;  
boallonjunpeanna	1. kulepenn;  
anteanna	1. antenne;  
polygona	1. polygon;  
konsearna	1. konsern;  
leairagatna	1. lærlav;  
muorragatna	1. stokklav;  
skártagatna	1. kartlav;  
seaidnegatna	1. messinglav;  
suoldnegatna	1. dogglav;  
beassegatna	1. snømållav;  
smarvegatna	1. fargelav;  
sirkilgatna	1. rosettlav;  
návlogatna	1. navlelav;  
duhpusgatna	1. filtlav;  
rieggágatna	1. krinslav;  
vealgebábirloatna	1. obligasjonslån;  
bietna	1. detalj;  
doarjjajietna	1. ja-stemme;  
vuostejietna	1. nei-stemme;  
duppaljietna	1. dobbeltstemme;  
vázzinjietna	1. trinnlyd;  
áibmojietna	1. luftlyd;  
fápmudusjietna	1. fullmaktstemme;  
spiehkastatjietna	1. særvotum;  
morčesuotna	1. vene;  
sveisensuotna	1. sveisestreng;  
bállosuotna	1. sædleder;  
sallitgutna	1. småsild;  
hátna	1. kran;  
čáhcehátna	1. vannkran;  
seaguhanhátna	1. blandebatteri;  
girdisáddolátna	1. flygesanddyne;  
fauna	1. fauna;  
hávvarriedvna	1. havregryn;  
hárjehallanbána	1. øvingsbane;  
vuodjinbána	1. kjørebane;  
gáljavuodjinbána	1. glattkjøringsbane;  
orgána	1. organ;  
váiddaorgána	1. klageorgan;  
dovddaorgána	1. sanseorgan;  
doaibmaorgána	1. virksomhetsorgan;  
gozihanorgána	1. kontrollorgan;  
stivrenorgána	1. styringsorgan;  
radiána	1. radian;  
vegetariána	1. vegetarianer;  
plána	1. plan;  
luoddaplána	1. vegplan;  
kloáhkkaplána	1. kloakkplan;  
rámmaplána	1. rammeplan;  
organisašuvdnaplána	1. organisasjonsplan;  
oahppaplána	1. læreplanverk;  
čáhceplána	1. vannplan;  
áigeplána	1. tidsskjema;  
dilleplána	1. situasjonsplan;  
areálplána	1. arealplan;  
ruhtadanplána	1. finansieringsplan;  
viessolávdanplána	1. bebyggelsesplan;  
jođihanplána	1. markedsføringsplan;  
šiehtadallanplána	1. forhandlingsopplegg;  
digaštallanplána	1. debattopplegg;  
regulerenplána	1. reguleringsplan;  
čoahkkinplána	1. møteplan;  
bargojuohkoplána	1. arbeidsfordelingsplan;  
geaidnoplána	1. vegplan;  
kontoplána	1. kontoplan;  
áigodatplána	1. periodeplan;  
huksehatplána	1. bebyggelsesplan;  
orohatplána	1. distriktsplan;  
johtolatplána	1. trafikkplan;  
šamána	1. sjaman;  
romána	1. roman;  
banána	1. banan;  
safrána	1. safran;  
altána	1. altan;  
geahpa	1. bøtenål, garnnål;  
čiktingeahpa	1. liten bøtenål;  
gođđingeahpa	1. vevskje;  
gáfegahpa	1. husholdningsfløte;  
giehpa	1. sot;  
greipa	1. grapefrukt;  
ruoššaskiipa	1. russeskip;  
čiehkašliipa	1. vinkelsliper;  
stereotiipa	1. stereotyp;  
bumpa	1. pumpe;  
borahanbumpa	1. matepumpe;  
liggenpumpa	1. varmepumpe;  
stámpa	1. stamp;  
liidnastámpa	1. linestamp;  
biotopa	1. biotop;  
geavaheddjiidoahppa	1. forbrukerlære;  
eallinagioahppa	1. livslang læring;  
sirdinoahppa	1. delegasjonslære;  
ovttaseallinoahppa	1. samlivslære;  
dovddidusoahppa	1. epistemologi;  
iešoahppa	1. selvstudium;  
beaktilvuođaprinsihppa	1. effektivitetsprinsipp;  
vuostálasprinsihppa	1. motstridsprinsipp;  
dássádathivvodatprinsihppa	1. balansekvantumsprinsipp;  
gorreloguprinsihppa	1. forholdstallprinsippet;  
oscilloskohppa	1. oscilloskop;  
mielkecuohppa	1. fiskeskum i gryta;  
duohppa	1. filt;  
dáhppa	1. nuggel;  
gaskadáhppa	1. mellomtapp;  
botnedáhppa	1. bunntapp;  
jeŋgendáhppa	1. gjengetapp;  
álgodáhppa	1. forgjengetapp;  
máhppa	1. mappe;  
sirrenmáhppa	1. sorteringsmappe;  
ceakkomáhppa	1. stående mappe;  
áššebábirmáhppa	1. aktomslag;  
heaŋgámáhppa	1. hengemappe;  
ráspa	1. rasp;  
ingefeara	1. ingefær;  
čuovgapeara	1. lyspære;  
boara	1. snøfri is;  
tara	1. tara;  
algebra	1. algebra;  
eanagiera	1. jordoverflate;  
satiira	1. satire;  
suvenira	1. suvenir;  
láira	1. leire;  
máhtoláira	1. makkeleire;  
metafora	1. metafor;  
jorttamora	1. jordmor;  
guovllurevisora	1. distriktsrevisor;  
observatora	1. observatør;  
mohtora	1. motor;  
iisamearra	1. ishav;  
ullimearra	1. flo;  
áhcagastingarra	1. glødeskall;  
juksaoarra	1. juksasnøre;  
skoarra	1. gråmåke;  2. sjøorre;  
oaggunoarra	1. juksasnøre;  
sivlooarra	1. djuptesnøre;  
fierra	1. spant;  
hirra	1. tangloppe;  
širra	1. tangloppe;  
hávdeborra	1. gravrøys;  
gođđonjuorra	1. gytegrunne;  
gaskamuorra	1. midtspant;  
lastamuorra	1. lauvtre;  
čivttamuorra	1. bukk;  
vikšamuorra	1. sule;  
ráhkemuorra	1. kjøldrag;  
guollemuorra	1. fiskespade;  
suvjadanmuorra	1. sule til jukse eller dorg;  
boaldinmuorra	1. ved;  
gođđinmuorra	1. målepinne;  
fanasmuorra	1. båtmateriale;  
doaresmuorra	1. tverrstokk;  
bajildusmuorra	1. dekkspile på slede, tresville;  
báldávuorra	1. kveiteline;  
durra	1. dor;  
vuoidangurra	1. smørespor;  
bonjisgurra	1. spiralspor;  
boazobárra	1. reinpar;  
hávdapárra	1. ærfuglpar;  
stárra	1. stær;  
dollavárra	1. ildsfare;  
asfáltačievra	1. asfaltgrus;  
inšenevra	1. ingeniør;  
luoddainšenevra	1. vegingeniør;  
hukseninšenevra	1. bygningsingeniør;  
ossodatinšenevra	1. avdelingsingeniør;  
johtolatinšenevra	1. trafikkingeniør;  
guovlluinšenevra	1. distriktsingeniør;  
amatevra	1. amatør;  
doarjjastivra	1. tilskuddsstyre;  
váldostivra	1. hovedstyre;  
boazodoallostivra	1. reindriftsstyre;  
ámmátolbmostivra	1. embetsmannsstyre;  
orohatstivra	1. distriktsstyre;  
gávpotstivra	1. bystyre;  
guovllustivra	1. områdestyre;  
bovra	1. bor;  
bonjisbovra	1. spiralbor;  
kantovra	1. kontor;  
ovdakantovra	1. forkontor;  
skuvlakantovra	1. skolekontor;  
sosiálakantovra	1. sosialkontor;  
ruhtakantovra	1. kassakontor;  
ruovttuveahkkekantovra	1. hjemmehjelpskontor;  
registrerenkantovra	1. registreringskontor;  
eananvuovdinkantovra	1. jordsalgskontor;  
váráiduhttinkantovra	1. forsyningskontor;  
oadjokantovra	1. trygdekontoret;  
kulturkantovra	1. kulturkontoret;  
hálddahuskantovra	1. administrasjonskontor;  
geavahuskántovra	1. forbrukerkontor;  
muvra	1. varde;  
duodjekultuvra	1. håndarbeidkultur;  
sámekultuvra	1. samekultur;  
eamikultuvra	1. urkultur;  
sámikultuvra	1. samekultur;  
lohkankultuvra	1. lesekultur;  
johtalankultuvra	1. veidekultur;  
huksenkultuvra	1. byggekultur;  
bivdokultuvra	1. jaktkultur;  
boazodoallokultuvra	1. reindriftsenhetkultur;  
veahčerákšokultuvra	1. båtøkskultur;  
vuolitkultuvra	1. subkultur;  
personálakantuvra	1. personalkontor;  
personalkantuvra	1. personalkontor;  
guovllokantuvra	1. distriktskontor;  2. regionskontor;  
doavttirkantuvra	1. legekontor;  
agentuvra	1. agentur;  
dosentuvra	1. dosentur;  
ovdakontuvra	1. forkontor;  
gántuvra	1. kontor;  
kántuvra	1. kontor;  
gielddakántuvra	1. kommunekontor;  
riekteveahkkekántuvra	1. rettshjelpskontor;  
sosiálkántuvra	1. sosialkontor;  
oadjokántuvra	1. trygdekontor;  
doavttirkántuvra	1. legekontor;  
doaktárkántuvra	1. legekontor;  
guovllukántuvra	1. distriktskontor;  2. regionskontor;  
skulptuvra	1. skulptur;  
kvestuvra	1. kvestur;  
tekstuvra	1. tekstur;  
cára	1. tsar;  
sekundára	1. sekundær;  
vikára	1. vikar;  
singulára	1. singular;  
seminára	1. seminar;  
bargoseminára	1. arbeidsseminar, workshop;  
trapesa	1. trapes;  
heaisa	1. heis;  
sveisa	1. sveis;  
lohtesveisa	1. kilsveis;  
dialiisa	1. dialyse;  
máisa	1. mais;  
lastamáisa	1. cornflakes;  
indeaksa	1. indeks;  
heaksa	1. liten spissbåt;  
lieksa	1. stor synkestein;  
refleksa	1. refleks;  
ohcanrefleksa	1. søkerefleks;  
njammanrefleksa	1. sugerefleks;  
čárvenrefleksa	1. griperefleks;  
seksa	1. saus;  
biksa	1. brystben hos fugl;  
asfáltamastriksa	1. asfaltmastriks;  
asfáltamastiksa	1. asfaltmastiks;  
čiksa	1. krikkand;  
hermetihkkaboksa	1. hermetikkboks;  
boastaboksa	1. postboks;  
arkiivaboksa	1. arkivboks;  
cahkkehanboksa	1. CDI-boks;  
koksa	1. koks;  
vuoksa	1. dybdeline på garn;  
biilauksa	1. bildør;  
sisbuksa	1. underbukse;  
heahteuksa	1. nødutgang;  
návsteuksa	1. naustdør;  
fluksa	1. fluks;  
buollinuksa	1. branndør;  
váldouksa	1. hovedinngang;  
olgouksa	1. utgang;  
klimáksa	1. klimaks;  
impulsa	1. impuls;  
presedeansa	1. presedens;  
tendeansa	1. tendens;  
kondeansa	1. kondens;  
intelligeansa	1. intelligens;  
tangeansa	1. tangens;  
esseansa	1. essens;  
poteansa	1. potens;  
balansa	1. balanse;  
interferensa	1. interferens;  
kompetensa	1. kompetanse;  
linsa	1. linse;  
responsa	1. respons;  
bronsa	1. bronse;  
skuhttarlunsa	1. selens bakdel;  
konsonánsa	1. konsonans;  
assonánsa	1. assonans;  
referánsa	1. referanse;  
differánsa	1. differanse;  
konferánsa	1. konferanse;  
preassakonferánsa	1. pressekonferanse;  
toleránsa	1. toleranse;  
renesánsa	1. renessanse;  
dosa	1. dose;  
aprikosa	1. aprikos;  
korpsa	1. korps;  
fierváhirsa	1. drivtømmer;  
teoriijagursa	1. teorikurs;  
gáljavuodjingursa	1. glattkjøringskurs;  
seavdnjadinvuodjingursa	1. mørkekjøringskurs;  
mánnádikšungursa	1. kurs i barnestell;  
diskursa	1. diskurs;  
resursa	1. ressurs;  
eassa	1. fiskehjellsås;  
regreassa	1. regress;  
kongreassa	1. kongress;  
streassa	1. stress;  
bargoproseassa	1. arbeidsprosess;  
boassa	1. musebol;  
remissa	1. remisse;  
báŋkoremissa	1. bankremisse;  
premissa	1. premiss;  
kompromissa	1. kompromiss;  
ruoššaluossa	1. pukkellaks;  
girjeluossa	1. regnbueørret;  
cinnabavssa	1. kjønnsleppe;  
badjebavssa	1. overleppe;  
giiragássa	1. girkasse;  
suodjegássa	1. dekkgass;  
jállogássa	1. edelgass;  
bázahasgássa	1. eksos;  
suohkankássa	1. kommunekasse;  
borrankássa	1. krybbe;  
molssonkássa	1. girkasse;  
orohatkássa	1. distriktskasse;  
viđjelássa	1. kjedelås;  
luottolássa	1. glidelås;  
terássa	1. terrasse;  
rohpeterássa	1. takterrasse;  
vitsa	1. vits;  
sovsa	1. saus;  
sisašluvsa	1. innsluset;  
olggosšluvsa	1. utsluse;  
teakstaanalysa	1. tekstanalyse;  
parafrása	1. parafrase;  
deattabahta	1. trestykker som utgjør en sirkel;  
čáhcebahta	1. fiskeløs not;  
nuohttebahta	1. notpose;  
oarjjuolbahta	1. fot i laksestengsel;  
nonmobiliteahta	1. nonmobilitet;  
plákahta	1. plakat;  
bálvalusappárahta	1. serviceapparat;  
alfabehta	1. alfabet;  
debehta	1. debet;  
stuorrafiehta	1. bergand;  
vuoktafiehta	1. toppand;  
čoavddagiehta	1. nøkkelperson;  
ovdagiehta	1. eksempel;  
ruhtagiehta	1. pengeforvalter;  
goanstagiehta	1. armprotese;  
sugadangiehta	1. vippearm;  
vuoššangiehta	1. grytearm;  
gurutgiehta	1. venstrehand;  2. venstrearm;  
dahkugiehta	1. gjerningshand;  
olgešgiehta	1. høyrehand;  2. høyrearm;  
miehta	1. honning;  
katekehta	1. kateket;  
komehta	1. komet;  
intranehta	1. intranet;  
magnehta	1. magnet;  
dahkumagnehta	1. elektromagnet;  
nihta	1. trestykke brukt til å holde tverrstanga stødig;  
doaibmafriddjavuohta	1. handlefrihet;  
vuoigŋafriddjavuohta	1. åndsfrihet;  
sátnefriddjavuohta	1. ytringsfrihet;  
prentenfriddjavuohta	1. trykkefrihet;  
gaskavuohta	1. relasjon;  
láigogaskavuohta	1. festeforhold;  
láigolašgaskavuohta	1. leilendingsforhold;  
sierravuohta	1. isolasjon;  
oktavuohta	1. forbindelse;  
luoddaoktavuohta	1. vegforbindelse;  
čalbmeoktavuohta	1. blikkontakt;  
gávpeoktavuohta	1. handelsforbindelse;  
telefonoktavuohta	1. telefontilknytning;  
verddevuohta	1. samarbeid;  2. sytingsreinhold;  
buorrevuohta	1. bonitet;  
searvevuohta	1. fellesskap;  
valljivuohta	1. mangfold;  
dárkivuohta	1. nøyaktighet;  
hutkáivuohta	1. kreativitet;  
áhččivuohta	1. farskap;  
čieŋalvuohta	1. dybde;  
geabbilvuohta	1. smidighet;  
áicilvuohta	1. konsentrasjonsevne;  
gierdilvuohta	1. toleranse;  
soddjilvuohta	1. bevegelighet;  
lađassoddjilvuohta	1. leddbevegelighet;  
ovttaoaivilvuohta	1. enighet;  
sierraláganvuohta	1. originalitet;  
boađusovttaláganvuohta	1. resultatlikhet;  
badjelgeahččanvuohta	1. overlegenhet;  
eaiggáduššanvuohta	1. eierposisjon;  
báhkinvuohta	1. hedenskap;  
diehtemeahtunvuohta	1. uvitenhet;  
fuollameahttunvuohta	1. grov uaktsomhet;  
soahpameahttunvuohta	1. uoverenstemmelse;  
várrameahttunvuohta	1. uaktsomhet;  
riektediehtemeahttunvuohta	1. rettsuvitenhet;  
soahpatmeahttunvuohta	1. konflikt;  
miellahttovuohta	1. medlemsskap;  
riektesihkarvuohta	1. rettssikkerhet;  
ráhkadussihkarvuohta	1. konstruksjonssikkerhet;  
geavahansihkkarvuohta	1. brukssikkerhet, sikkerhet i bruk;  
olmmošsihkkarvuohta	1. personsikkerhet;  
diehtoáŋgirvuohta	1. vitebegjær;  
váibbasvuohta	1. tretthet;  
oadjebasvuohta	1. trygghet;  
doaibmageatnegasvuohta	1. løyveplikt;  
riektegeatnegasvuohta	1. rettsplikt;  
fuolahangeatnegasvuohta	1. omsorgsplikt;  2. vergemålsforpliktelse;  
vuojehangeatnegasvuohta	1. utdrivingsplikt;  
dieđihangeatnegasvuohta	1. opplysningsplikt;  
jienastangeatnegasvuohta	1. stemmeplikt;  
dárbogokčangeatnegasvuohta	1. oppdekkingsplikt;  
merkengeatnegasvuohta	1. merkeplikt, plikt til merking av tamrein;  
veaddingeatnegasvuohta	1. båndtvang;  
váidingeatnegasvuohta	1. reklamasjonsplikt;  
vuordingeatnegasvuohta	1. vikeplikt;  
čoahkkingeatnegasvuohta	1. møteplikt;  
máksingeatnegasvuohta	1. betalingsforpliktelse;  
doallogeatnegasvuohta	1. driveplikt;  
rehketdoallogeatnegasvuohta	1. regnskapsplikt;  
čielggasvuohta	1. klarhet;  
dávggasvuohta	1. fleksibilitet, seighet;  
haddedávggasvuohta	1. priselastisitet;  
várrogasvuohta	1. aktsomhet;  
vuodjinvuogasvuohta	1. kjørekomfort;  
vuostelasvuohta	1. konflikt;  
vuostálasvuohta	1. motsetning;  
beroštusvuostálasvuohta	1. interessemotsetning;  
mihtilmasvuohta	1. karakteristikk;  
garasvuohta	1. hardhet;  
sorjjakeahtesvuohta	1. suverenitetsutøvelse;  
bealatkeahtesvuohta	1. ugildhet;  
dássedisvuohta	1. egalitet;  
bargonávccahisvuohta	1. arbeidsuførhet;  
skihkahisvuohta	1. skjødesløshet;  
fuolahisvuohta	1. omsorgssvikt;  
ráfehisvuohta	1. ufred;  
dássehisvuohta	1. ubalanse;  
miellaráfihisvuohta	1. nervøsitet;  
dilihisvuohta	1. travelhet;  
siviilajeagohisvuohta	1. sivil ulydighet;  
ealjohisvuohta	1. passivitet;  
bargguhisvuohta	1. arbeidsløshet;  
strukturbargguhisvuohta	1. strukturledighet;  
áigodatbargguhisvuohta	1. sesongledighet;  
biilalihkuhisvuohta	1. bilulykke;  
luoddearrolihkuhisvuohta	1. vegkryssulykke;  
mohtorfievrolihkuhisvuohta	1. motorkjøretøyulykke;  
johtolatlihkuhisvuohta	1. trafikkulykke;  
čoahkkisvuohta	1. densitet;  
nákkisvuohta	1. tranghet;  
fápmoollisvuohta	1. maktfullkommenhet;  
hánisvuohta	1. gjerrighet;  
buhtisvuohta	1. sanitære forhold;  
dádjadanváttisvuohta	1. orienteringshemning;  
oahppanváttisvuohta	1. lærevanske;  
meannováttisvuohta	1. atferdsvanske;  
rávisvuohta	1. modenhet;  
láhkamieđisvuohta	1. lovmedholdighet;  
stáđisvuohta	1. stabilitet;  
dearpannanosvuohta	1. bankefasthet;  
loaktinnanosvuohta	1. slitestyrke;  
oskkáldusvuohta	1. tiltro;  
gearggusvuohta	1. beredskap;  
buollingearggusvuohta	1. brannberedskap;  
ivdnádatvuohta	1. kulørthet;  
oastinovdavuoigatvuohta	1. forkjøpsrett;  
sierravuoigatvuohta	1. særrettighet;  
pantavuoigatvuohta	1. panterett;  
lahttavuoigatvuohta	1. tilflottsrett;  
árbevuoigatvuohta	1. odel;  
dahkkivuoigatvuohta	1. opphavsrett;  
álggadahkkivuoigatvuohta	1. opphavsrett;  
šiehtadanvuoigatvuohta	1. kontraktsevne;  
evttohanvuoigatvuohta	1. forslagsrett;  
vearuhanvuoigatvuohta	1. beskatningsrett;  
biehttalanvuoigatvuohta	1. nektelsesrett;  
ságastallanvuoigatvuohta	1. talerett;  
ovttastallanvuoigatvuohta	1. samværsrett;  
ávkkástallanvuoigatvuohta	1. nyttesrett;  
doaibmanvuoigatvuohta	1. rettshandelsevne;  
jienastanvuoigatvuohta	1. stemmerett;  
vuollástanvuoigatvuohta	1. okkupasjonsrett;  
eaiggáduššanvuoigatvuohta	1. selveiendomsrett;  
eanaeaiggáduššanvuoigatvuohta	1. markeiendomsrett;  
gevrenvuoigatvuohta	1. bortvisningsrett;  
ráđđenvuoigatvuohta	1. overhøyhetsrett;  
váidinvuoigatvuohta	1. klagerett;  
oaidninvuoigatvuohta	1. innsynsrett;  
oastinvuoigatvuohta	1. løsningsrett;  
ovdaoastinvuoigatvuohta	1. forkjøpsrett;  
báhcánvuoigatvuohta	1. restrett;  
háldovuoigatvuohta	1. besittelsesrett;  
bivdovuoigatvuohta	1. gjenfangstrett;  
láigovuoigatvuohta	1. festerett;  
fanasláigovuoigatvuohta	1. båtfesterett;  
boazodoallovuoigatvuohta	1. rett til å utøve reindrift;  
ozovuoigatvuohta	1. mutingsrett;  
mihtádusvuoigatvuohta	1. utmålsrett;  
ovddasvástádusvuoigatvuohta	1. ansvarsrett;  
geavahusvuoigatvuohta	1. forpaktning;  
opmodatvuoigatvuohta	1. formuesrettighet;  
almennetvuoigatvuohta	1. allmenningsrett;  
stargatvuohta	1. stivhet;  
guovttegielatvuohta	1. tospråklighet;  
fitmatvuohta	1. observasjonsevne;  
biilaeatnatvuohta	1. biltetthet;  
máškitvuohta	1. fleksibilitet;  
iešeaiggátvuohta	1. selveie;  
bealátvuohta	1. inhabilitet;  
hearrávuohta	1. herredømme;  
lágalašvuohta	1. gyldighet;  
ovttajienalašvuohta	1. enstemmighet;  
sivalašvuohta	1. skyld;  
gelbbolašvuohta	1. kompetanse;  
doaibmagelbbolašvuohta	1. handlingskompetanse;  
reálgelbbolašvuohta	1. realkompetanse;  
sirddolašvuohta	1. tilflytting;  
áigodatsirddolašvuohta	1. sesongmigrasjon;  
lihkadanvejolašvuohta	1. bevegelsesmulighet;  
resursadábuhanvejolašvuohta	1. ressurstilgang;  
doaibmanvejolašvuohta	1. funksjonsmulighet;  
ruhttenvejolašvuohta	1. feiemulighet;  
čoahkkinvejolašvuohta	1. møterett;  
áššečuoččaldahttinvejolašvuohta	1. søksmålsadgang;  
háldovejolašvuohta	1. disponeringsadgang;  
čáhcefápmovejolašvuohta	1. vannkraftpotensiale;  
diehtorihkolašvuohta	1. datakriminalitet;  
virolašvuohta	1. regelmessighet;  
behtolašvuohta	1. upålitelighet;  
eaktodáhtolašvuohta	1. forsett;  2. frivillighet;  
máhtolašvuohta	1. kvalifikasjon;  
doabamáhtolašvuohta	1. begrepsrepertoar;  
johtolatdorvvolašvuohta	1. trafikksikkerhet;  
diđolašvuohta	1. bevissthet;  
joavkodiđolašvuohta	1. gruppebevissthet;  
bákteluđolašvuohta	1. bergfrihet;  
beasatlašvuohta	1. tilgjengelighet;  
lobálašvuohta	1. legitimitet;  
válddálašvuohta	1. myndighet;  
veahkaválddálašvuohta	1. overgrep;  2. vold;  
njalagálašvuohta	1. evighet;  
girjjálašvuohta	1. litteratur;  
čáppagirjjálašvuohta	1. skjønnlitteratur;  
tendeansagirjjálašvuohta	1. tendenslitteratur;  
muitalangirjjálašvuohta	1. prosa;  
muittašangirjjálašvuohta	1. memoarlitteratur;  
ájánasgirjjálašvuohta	1. triviallitteratur;  
fáktágirjjálašvuohta	1. dokumentarlitteratur;  
dohkálašvuohta	1. tjenlighet;  
vuoigatvuođadilálašvuohta	1. rettighetssituasjon;  
allatvuođadilálašvuohta	1. høyhetsforhold;  
suodjedilálašvuohta	1. vergemålsforhold;  
riektedilálašvuohta	1. rettighetsforhold;  
geavahandilálašvuohta	1. bruksforhold;  
aktoráđđendilálašvuohta	1. enerådighetsforhold;  
eallindilálašvuohta	1. livssituasjon;  
servodatdilálašvuohta	1. samfunnsforhold;  
dássádatdilálašvuohta	1. balanseforhold;  
oaivválašvuohta	1. rasjonalitet;  
váilevašvuohta	1. mangel;  
gullevašvuohta	1. identitet;  
gáđašvuohta	1. misunnelse;  
iešvuohta	1. egenskap;  
lihkadaniešvuohta	1. bevegelsesegenskap;  
liekkasrasttidaniešvuohta	1. varmegjennomgangsegenskap;  
jietnadusteniešvuohta	1. lydabsorpsjonsegenskap;  
váldoiešvuohta	1. hovedegenskap;  
borešvuohta	1. fråtseri;  
várvešvuohta	1. iakttakelsesevne;  
lágášvuohta	1. beskaffenhet;  
erenoamášvuohta	1. eiendommelighet;  2. særpreg;  
reaidaruhta	1. kontanter;  
leaskaruhta	1. enkepensjon;  
giehtaruhta	1. handlepenger;  
bargguhisvuođaruhta	1. arbeidsledighetstrygd;  
beaiveruhta	1. dagpenger;  
buohcanruhta	1. sykelønn;  
idjadanruhta	1. nattillegg;  
bazahanruhta	1. pengeavsetning;  
riegádahttinruhta	1. fødselspenger;  
veajuiduhttinruhta	1. attføringstrygd;  
biebmoruhta	1. kostgodtgjørelse, diett, kostpenger;  
luopmoruhta	1. feriepenger;  
vierroruhta	1. utenlandsk valuta;  
seastoruhta	1. sparepenger;  
myhta	1. myte;  
aggregáhta	1. aggregat;  
sámevearroplakáhta	1. lappskattplakat;  
tomáhta	1. tomat;  
automáhta	1. automat;  
hehttenáhta	1. sperreanordning;  
koordináhta	1. koordinat;  
reaidanjoarroáhta	1. kontanstrømselement;  
apparáhta	1. apparat;  
filbmaapparáhta	1. filmframviser;  
váikkuhangaskaoapmeapparáhta	1. hjelpemiddelapparat;  
jáddadanapparáhta	1. brannslokkingsapparat;  
sveisenapparáhta	1. sveiseapparat;  
čuokkissveisenapparáhta	1. punktsveiseapparat;  
karbohydráhta	1. karbohydrat;  
trasáhta	1. trassat;  
regressáhta	1. regressat;  
endossáhta	1. endossatar;  
termostáhta	1. termostat;  
effeakta	1. effekt;  
symbolaeffeakta	1. symboleffekt;  
imperfeakta	1. imperfekt;  
objeakta	1. objekt;  
subjeakta	1. subjekt;  
vuoigatvuođasubjeakta	1. rettighetssubjekt;  
pronomensubjeakta	1. pronomensubjekt;  
áššečuoččaldahttinsubjeakta	1. påtalesubjekt;  
